Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
Washington Sundar,4,6,2,265,96*,66.25,502,52.78,0,3,2,31,5,India
RG Sharma,12*,18,1,1064,212,62.58,1665,63.9,4,2,0,129,27,India
RA Jadeja,11*,14,5,484,91,53.77,881,54.93,0,5,0,40,10,India
AM Rahane,18*,29,3,1144,115,44,2434,47,3,6,2,130,6,India
V Kohli,15*,23,2,921,254*,43.85,1695,54.33,2,5,4,109,3,India
MA Agarwal,12,20,0,857,243,42.85,1556,55.07,3,2,1,104,18,India
RR Pant,12*,19,2,666,101,39.17,979,68.02,1,4,0,76,16,India
GH Vihari,8,14,2,457,111,38.08,1008,45.33,1,3,0,64,1,India
SN Thakur,1,2,0,69,67,34.5,118,58.47,0,1,0,9,2,India
Shubman Gill,8*,14,2,406,91,33.83,708,57.34,0,3,2,54,5,India
CA Pujara,18*,29,0,826,81,28.48,2276,36.29,0,9,3,100,3,India
KL Rahul,2,4,0,101,44,25.25,271,37.26,0,0,0,12,0,India
R Ashwin,14*,17,2,317,106,21.13,667,47.52,1,0,2,41,2,India
WP Saha,6,6,1,87,24,17.4,151,57.61,0,0,0,12,0,India
PP Shaw,3,6,0,102,54,17,142,71.83,0,1,1,14,1,India
AR Patel,3,4,0,55,43,13.75,131,41.98,0,0,1,7,1,India
UT Yadav,7,8,2,76,31,12.66,76,100,0,0,2,4,8,India
I Sharma,12*,12,2,123,57,12.3,278,44.24,0,1,3,13,1,India
Mohammed Shami,11*,11,5,69,21,11.5,71,97.18,0,0,3,6,4,India
Mohammed Siraj,5,6,2,39,16*,9.75,48,81.25,0,0,1,4,2,India
NA Saini,2,3,1,8,5,4,27,29.62,0,0,0,1,0,India
JJ Bumrah,10*,14,5,29,10*,3.22,90,32.22,0,0,5,4,0,India
Kuldeep Yadav,1,2,0,3,3,1.5,24,12.5,0,0,1,0,0,India
S Nadeem,2,3,1,1,1*,0.5,30,3.33,0,0,2,0,0,India
T Natarajan,1,1,1,1,1*,-,9,11.11,0,0,0,0,0,India
M Labuschagne,13,23,0,1675,215,72.82,2999,55.85,5,9,0,186,3,Australia
SPD Smith,13,22,1,1341,211,63.85,2509,53.44,4,7,1,151,7,Australia
DA Warner,12,22,2,948,335*,47.4,1519,62.4,3,1,3,94,1,Australia
WJ Pucovski,1,2,0,72,62,36,126,57.14,0,1,0,6,0,Australia
C Green,4,7,0,236,84,33.71,580,40.68,0,1,1,23,4,Australia
MS Wade,14,25,2,727,117,31.6,1354,53.69,2,1,2,89,4,Australia
TM Head,11,17,1,490,114,30.62,1023,47.89,1,2,1,62,0,Australia
JA Burns,7,12,1,319,97,29,683,46.7,0,3,2,33,4,Australia
TD Paine,14,22,3,550,79,28.94,1077,51.06,0,4,2,65,1,Australia
PM Siddle,3,4,1,84,44,28,173,48.55,0,0,0,9,0,Australia
MA Starc,10,13,4,219,54*,24.33,307,71.33,0,1,0,19,6,Australia
JL Pattinson,4,6,2,85,47*,21.25,137,62.04,0,0,1,6,4,Australia
MR Marsh,1,2,0,41,24,20.5,111,36.93,0,0,0,6,0,Australia
UT Khawaja,3,6,0,122,40,20.33,188,64.89,0,0,0,17,0,Australia
NM Lyon,14,18,5,178,26*,13.69,275,64.72,0,0,1,24,3,Australia
MS Harris,4,8,0,101,38,12.62,226,44.69,0,0,0,17,0,Australia
CT Bancroft,2,4,0,44,16,11,162,27.16,0,0,0,6,0,Australia
PJ Cummins,14,20,3,180,28*,10.58,568,31.69,0,0,5,18,1,Australia
JR Hazlewood,11,13,7,57,11,9.5,100,57,0,0,1,9,0,Australia
Shakib Al Hasan,1,1,0,68,68,68,150,45.33,0,1,0,5,0,Bangladesh
Tamim Iqbal,5,10,1,420,92,46.66,553,75.94,0,4,1,63,5,Bangladesh
Mushfiqur Rahim,6,11,1,453,74,45.3,888,51.01,0,4,1,56,1,Bangladesh
Mominul Haque,7,14,1,534,127,41.07,1193,44.76,2,0,2,58,0,Bangladesh
Liton Das,7,12,1,417,71,37.9,673,61.96,0,3,0,52,2,Bangladesh
Najmul Hossain Shanto,5,10,0,311,163,31.1,724,42.95,1,0,3,36,2,Bangladesh
Mehidy Hasan Miraz,6,11,0,317,103,28.81,600,52.83,1,1,1,36,4,Bangladesh
Al-Amin Hossain,1,2,1,22,21,22,24,91.66,0,0,0,5,0,Bangladesh
Mahmudullah,3,6,1,95,39*,19,176,53.97,0,0,1,15,0,Bangladesh
Shadman Islam,3,6,0,105,59,17.5,301,34.88,0,1,1,12,0,Bangladesh
Mohammad Mithun,4,8,0,125,63,15.62,326,38.34,0,1,2,14,2,Bangladesh
Nayeem Hasan,3,5,1,58,24,14.5,98,59.18,0,0,1,9,0,Bangladesh
Saif Hassan,3,6,0,76,34,12.66,149,51,0,0,2,13,2,Bangladesh
Taijul Islam,7,12,1,97,24,8.81,358,27.09,0,0,1,9,0,Bangladesh
Soumya Sarkar,1,2,0,13,13,6.5,38,34.21,0,0,1,1,0,Bangladesh
Taskin Ahmed,2,3,1,13,7,6.5,53,24.52,0,0,1,1,0,Bangladesh
Imrul Kayes,2,4,0,21,6,5.25,61,34.42,0,0,0,2,0,Bangladesh
Abu Jayed,6,10,5,17,7*,3.4,73,23.28,0,0,3,1,0,Bangladesh
Rubel Hossain,1,2,0,6,5,3,35,17.14,0,0,0,1,0,Bangladesh
Ebadat Hossain,4,6,2,4,2,1,28,14.28,0,0,1,0,0,Bangladesh
Shoriful Islam,1,2,1,0,0*,0,10,0,0,0,1,0,0,Bangladesh
Mustafizur Rahman,1,1,1,3,3*,-,11,27.27,0,0,0,0,0,Bangladesh
JE Root,20,37,2,1660,228,47.42,3037,54.65,3,8,3,168,5,England
BA Stokes,17,32,3,1334,176,46,2308,57.79,4,6,1,142,31,England
Z Crawley,11,19,0,682,267,35.89,1241,54.95,1,4,2,90,1,England
OJ Pope,13,22,3,634,135*,33.36,1186,53.45,1,4,0,72,2,England
JC Buttler,18,31,2,963,152,33.2,1821,52.88,1,4,1,108,14,England
DP Sibley,16,28,2,844,133*,32.46,2337,36.11,2,4,4,95,1,England
RJ Burns,14,25,0,795,133,31.8,1754,45.32,1,5,4,95,0,England
JL Denly,10,19,0,569,94,29.94,1462,38.91,0,4,0,79,3,England
DW Lawrence,5,10,1,248,73,27.55,558,44.44,0,2,1,23,2,England
CR Woakes,10,14,2,296,84*,24.66,528,56.06,0,1,2,35,2,England
JM Bairstow,10,20,2,391,52,21.72,804,48.63,0,1,3,44,3,England
