Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St,Country
AR Patel,3,6,127.4,27,286,27,6/38,11/70,10.59,2.24,28.3,4,1,1,0,India
I Sharma,12*,21,228,58,641,36,5/22,9/78,17.8,2.81,38,3,0,3,0,India
UT Yadav,7,14,160.2,27,538,29,5/53,8/82,18.55,3.35,33.1,1,0,3,0,India
Mohammed Shami,11*,19,245.3,57,726,36,5/35,7/58,20.16,2.95,40.9,1,0,2,0,India
Kuldeep Yadav,1,2,12.2,2,41,2,2/25,2/41,20.5,3.32,37,0,0,0,0,India
R Ashwin,14*,25,529.4,99,1402,67,7/145,9/207,20.92,2.64,47.4,4,0,4,0,India
SN Thakur,1,2,43,8,155,7,4/61,7/155,22.14,3.6,36.8,0,0,2,0,India
JJ Bumrah,10*,18,282.1,67,779,34,6/27,7/58,22.91,2.76,49.7,2,0,2,0,India
Mohammed Siraj,5,10,160.2,39,452,16,5/73,6/150,28.25,2.81,60.1,1,0,3,0,India
RA Jadeja,11*,19,276.1,66,803,28,4/62,6/211,28.67,2.9,59.1,0,0,7,0,India
S Nadeem,2,4,76.2,11,273,8,2/18,4/40,34.12,3.57,57.2,0,0,1,0,India
T Natarajan,1,2,38.2,7,119,3,3/78,3/119,39.66,3.1,76.6,0,0,0,0,India
NA Saini,2,4,41.5,5,172,4,2/54,4/119,43,4.11,62.7,0,0,1,0,India
Washington Sundar,4,7,87.4,10,299,6,3/89,4/169,49.83,3.41,87.6,0,0,1,0,India
V Kohli,15*,2,2,0,8,0,-,-,-,4,-,0,0,16,0,India
RG Sharma,12*,6,8.1,2,22,0,-,-,-,2.69,-,0,0,16,0,India
GH Vihari,8,3,12,1,48,0,-,-,-,4,-,0,0,2,0,India
MA Agarwal,12,-,-,-,-,-,-,-,-,-,-,-,-,8,0,India
RR Pant,12*,-,-,-,-,-,-,-,-,-,-,-,-,35,5,India
CA Pujara,18*,-,-,-,-,-,-,-,-,-,-,-,-,12,0,India
AM Rahane,18*,-,-,-,-,-,-,-,-,-,-,-,-,22,0,India
KL Rahul,2,-,-,-,-,-,-,-,-,-,-,-,-,3,0,India
WP Saha,6,-,-,-,-,-,-,-,-,-,-,-,-,17,1,India
PP Shaw,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,India
Shubman Gill,8*,-,-,-,-,-,-,-,-,-,-,-,-,4,0,India
MR Marsh,1,2,29.2,5,86,7,5/46,7/86,12.28,2.93,25.1,1,0,1,0,Australia
JR Hazlewood,11,21,385.2,108,986,48,5/8,9/115,20.54,2.55,48.1,3,0,4,0,Australia
PJ Cummins,14,28,555.3,158,1472,70,5/28,7/69,21.02,2.64,47.6,1,0,7,0,Australia
MA Starc,10,20,340.3,71,1080,44,6/66,9/97,24.54,3.17,46.4,2,0,6,0,Australia
JL Pattinson,4,8,114,26,302,11,3/34,6/69,27.45,2.64,62.1,0,0,2,0,Australia
NM Lyon,14,27,630.5,131,1757,56,6/49,10/118,31.37,2.78,67.5,4,1,9,0,Australia
PM Siddle,3,6,97,21,295,7,2/52,3/102,42.14,3.04,83.1,0,0,2,0,Australia
M Labuschagne,13,19,77,9,256,3,1/9,1/9,85.33,3.32,154,0,0,7,0,Australia
SPD Smith,13,5,7,1,27,0,-,-,-,3.85,-,0,0,27,0,Australia
MS Wade,14,3,4,0,28,0,-,-,-,7,-,0,0,11,0,Australia
TM Head,11,4,10,3,31,0,-,-,-,3.1,-,0,0,6,0,Australia
C Green,4,6,44,7,118,0,-,-,-,2.68,-,0,0,5,0,Australia
CT Bancroft,2,-,-,-,-,-,-,-,-,-,-,-,-,5,0,Australia
JA Burns,7,-,-,-,-,-,-,-,-,-,-,-,-,5,0,Australia
MS Harris,4,-,-,-,-,-,-,-,-,-,-,-,-,0,0,Australia
